"","user","sentimentA"
"1195","JBuckton94",2
"1196","jbxperience",0
"1197","JC_thePD",2
"1198","Jcampky",0
"1199","jcatbbug",-2
"1200","jcbuzzie",2
"1201","jchesmore",0
"1202","JCLamkin",0
"1203","jclorenzetti",-1
"1204","jcoolbaugh90",1
"1205","jcrewandmeth",1
"1206","JD1367a",1
"1207","jdcunard",1
"1208","jdude924",-1
"1210","jedet02",-1
"1211","JeffOutLoud",1
"1212","jelenaparsons5",0
"1213","JeMenfoutisme__",1
"1214","JenniferGassman",1
"1216","jennpublic",2
"1217","Jenny_IDLYITW",-2
"1219","jenxrenee",-1
"1220","Jeremy_Titter46",1
"1221","JeremyHimli",-1
"1222","JeremyIrwin15",-1
"1223","jerrasic_",2
"1224","JerryAscione",0
"1225","jerrysainah11",0
"1226","JesseBarre",0
"1227","JessicaRobeson",-1
"1229","jetsongospel",-1
"1230","jezenthomas",2
"1231","jezkemp",1
"1232","Jezzerat",-1
"1233","JF0RTUNAT0",0
"1234","jfromthefandoms",-1
"1235","jgrant34",2
"1236","JGuerinPhoto",1
"1237","jiggawutt",1
"1238","JigsawFirefly",-2
"1239","jihad_huma",0
"1240","JillHohman",1
"1241","JillianKeenan",0
"1242","Jim_Partin",0
"1244","jimbearNJ",0
"1245","JimbobStonePhD",-2
"1246","jimbomberger",1
"1247","jimiclpe",0
"1248","JimmeJohne",0
"1249","JimmyCsb",0
"1250","JimmyMcSavage",-1
"1251","JimWilemon",1
"1252","JJ4T12Win",-1
"1253","jjakeholm",-2
"1256","JlwJoe",0
"1257","Jmax528",3
"1258","JMIClark",0
"1259","Jmiller8710Z",-1
"1260","Jo_bousk",2
"1261","joanier52",2
"1262","Joanna9273",-1
"1263","jobba41",-1
"1264","jodicaprio",1
"1266","Joekingisbetter",0
"1267","joemisterr",1
"1268","joesabin",-1
"1269","JoeSondow",0
"1270","joeydiblasi",2
"1271","joeyg298",-1
"1272","joeyinthewoods",-1
"1273","joeypodsnothing",-1
"1274","johann8384",1
"1275","johanon_",3
"1276","john_jake1313",2
"1277","johnalanhoadley",1
"1278","johncrowe86",-1
"1279","JohnDAndrle",1
"1280","johnnseyboy",1
"1281","johnny808Blaze",2
"1282","Johnnythebrit",2
"1283","JohnRealSmith",1
"1284","JohnRedc0rn",1
"1285","JohnTMadden",-1
"1286","joifulgurl",1
"1287","JOjojosiejay",8
"1288","JoJoStarling2",0
"1289","JoKeDin",0
"1290","JollyGoodJayHM",0
"1291","jomar96",-1
"1292","JonathanPerrine",2
"1293","JonathonHatz",2
"1294","jonerfan24",1
"1295","jonesypoo",1
"1296","jonfw2",1
"1297","jonno12jrw",-1
"1298","jonnyblackout",0
"1299","jonojames777",2
"1300","jonschr",2
"1301","joonieper",-1
"1302","JordanCrane97",1
"1303","Jormelendez",1
"1304","JortsQueen",2
"1305","joseph_rothwell",0
"1307","Josephi05613010",0
"1308","joshanthi",1
"1309","josiahfartlett",-1
"1310","josueA1017",0
"1311","jozxm",2
"1312","JpHallady",-1
"1313","Jpmaxx21",-2
"1314","jpraise_dmc",-1
"1315","jrain15",1
"1316","jsaucystevens",0
"1317","jsnyder555",1
"1318","JuggernautAVFTW",-1
"1319","juiceboxdrunk",1
"1321","JulianPFoulkes",0
"1322","julianpowpow",1
"1323","julierae2332",1
"1324","juliesmith9999",-1
"1325","julzzzzrenee",0
"1326","JuMaRi615",0
"1327","jurijuri",1
"1328","JustEric",1
"1329","justfurkids",1
"1330","JustHeather8",-1
"1331","justinslootsky",1
"1332","JustinTime500",0
"1333","JustLoo57727959",0
"1334","jvbreen1",0
"1335","jwagripropaneUN",2
"1336","jwbul287",3
"1337","jwhoopes2",1
"1338","jx_white",4
"1339","K3epReal",-2
"1340","K3V1NMAC",0
"1341","kahlua71",0
"1343","kakos273met",0
"1344","kalasilverman",2
"1345","KaljaKotka",1
"1346","kallas_amanda",1
"1347","Kanadabalsam",-3
"1348","karamcnair",1
"1349","Kardea",0
"1350","KarelessFeline",-1
"1351","kashimaawo",-1
"1352","Kasianand",-1
"1353","Kassondra",2
"1354","katbocti",0
"1356","kathoderaytube",0
"1357","kathys_quill",1
"1358","katiadempsey",0
"1359","Katie_Freeman34",1
"1360","KatTripp2",2
"1361","Kawinje",1
"1362","kayakjake",-1
"1363","kayla_shepler",-2
"1364","KayleySue",0
"1365","KayOrder",-3
"1366","keep_the_change",1
"1367","Kehvan420",-1
"1368","KeisenbergUK",2
"1369","keithwhite83",2
"1371","KEJoyce2",0
"1372","kellancon",0
"1373","KelleyII",2
"1374","kelly_crunch",1
"1376","KenovaSir",1
"1377","KenyonGagne2",0
"1378","Kenzie_frame",0
"1379","KesaraRiku",2
"1381","kevinbehringer",-1
"1382","KevinDavus",1
"1383","keyana_little",0
"1384","keyrodi",-2
"1386","KFI_superfan",0
"1387","KFleeger_01",2
"1388","kh5094",2
"1389","KhaleesiNU",1
"1390","Khoala_Bare",0
"1391","kiikersneaker",0
"1392","Kikalena",0
"1393","killaxari",0
"1394","KimFitnesskim",-1
"1395","KimPlasket",0
"1396","kindamehreally",2
"1397","King__Wavy",1
"1398","King_of_Moths",-1
"1399","king0fcatz",0
"1400","KingM91",-1
"1401","Kira754boe",-1
"1402","Kirstinhaleyy",-1
"1403","kismykas",1
"1404","kisskisskillem",2
"1406","kittygothgrl",-1
"1407","KiyoDandre",-1
"1408","kjbmeetsworld",-1
"1409","KjDebruin",2
"1410","KJo112",1
"1411","kkaplan",1
"1412","KLEOPATRAJONZ",0
"1413","klobmathews",1
"1414","KM__U",0
"1415","kmbrei",0
"1416","kmkasner",1
"1417","knittymanu",0
"1420","kore4life",2
"1421","KoreanWarPart2",2
"1422","kosmyst",1
"1423","KPikklefield",2
"1424","kpkeane3",1
"1425","kprmsn",-1
"1426","KrakenColdOnes",1
"1427","kramphillips",1
"1429","KristinaAurelia",0
"1430","KristinTangel",0
"1431","KrisWilliams",0
"1432","KrystalGarza29",2
"1434","KSibla",2
"1435","kumotherapy",-1
"1436","KurtTustin",-1
"1437","Kwonboy24",-1
"1438","kxtchensnk",-1
"1439","KYGinger",2
"1440","Kyle36969",-2
"1441","KyloRem_",-2
"1442","l3urton4949",2
"1443","labia_menorah",4
"1444","Labraid",-1
"1445","LAbryanM",2
"1446","lacanta",0
"1447","lacey_combs",1
"1448","LacJordan",0
"1449","lacuchina",2
"1450","ladcapital",2
"1453","LadyEdotMe",0
"1454","LadyOnTheMuna2",-1
"1455","LadyWildgans",2
"1456","LakeBubble",-1
"1457","LaLaLunchbox",1
"1459","LandryRobandry",2
"1460","larryhinkle",-1
"1461","LarsAlxndrssn",-2
"1462","lauracristea25",1
"1463","laurakfillault",9
"1464","laurenmichellie",-2
"1465","LaurenRauh",-1
"1466","lauriejohnson12",2
"1467","lawilson009",-1
"1468","leahporter_",2
"1469","leashyourkids",1
"1470","leavercm",1
"1471","lecksicon",2
"1472","LeeCrane1",0
"1473","LeftyPeasant",-1
"1475","lej2343",2
"1476","LeLee_Marie",0
"1477","LeMemeSwiper57",1
"1478","Lendl97",0
"1479","LeniWodring",6
"1480","LennyGhoul",0
"1481","Lenore312",5
"1482","LeonKira997",-1
"1483","LeScaryBird",-1
"1484","LethalMist",1
"1485","levensuikerspin",1
"1486","LewisHart17",-1
"1487","LewisRobinsonnn",1
"1488","Lexibearp1997",1
"1489","lexluthor415",-2
"1490","LeytonWilliam",2
"1492","LiberalBeachGal",1
"1493","LiberalLogic__",-1
"1494","LiberalsExposed",0
"1495","LiberalsRNuts",1
"1496","LibertyEncyclo1",-2
"1497","LibertySuzyQ",-1
"1498","libertytrout",2
"1499","Libra_Spirit_1",-1
"1500","libraonstrike",-1
"1501","librariancraftr",0
"1502","LifewithKen_",-2
"1503","LigayaLoyola",0
"1504","lihisom",-1
"1505","likeamodernman",1
"1506","likeRAWR8",-1
"1507","lillybronx",1
"1509","lilnatapillar",-1
"1511","lilwing88",1
"1512","LilyLilyMaynard",-1
"1515","lisa_pearl_",1
"1516","Lisa61618219",1
"1517","liselotteross",1
"1518","literallyhank",1
"1519","little_bigwood",-1
"1520","littlebit_nc",1
"1521","littleblop",1
"1522","LittleButTalawa",-1
"1523","littlelauren16",0
"1524","live2runbfree",2
"1525","LiveitRivet",-2
"1526","lizgkennedy",2
"1527","lizmbd2",1
"1528","Lizutd",0
"1529","lizz_klammer",0
"1531","LM_Cancer",0
"1532","lmought",-1
"1533","LocgOrg",1
"1534","loiuzein",1
"1535","LonelyMovieNerd",2
"1536","LongfellowAutz",0
"1537","lord_at_war",-1
"1538","lord_ferrigno",0
"1539","LordMoloch",-1
"1540","LordOfMeh",2
"1541","lorismentality",0
"1542","lostNconfuzed",0
"1543","Louis_H_Taylor",2
"1545","LoveableNagato",0
"1546","Lquidchwartz",2
"1547","lquilter",2
"1548","LrElias3",-1
"1549","lucaabrasix",1
"1550","Lucatosi88",1
"1551","Luch_Boe",0
"1552","lucyasgarrett",1
"1554","luke__bfc",-1
"1555","LukeBGID",2
"1556","lukerchoate83",-2
"1557","lukexob",0
"1558","lunasluvchild",0
"1559","LurkAndLike",0
"1560","luvinmysweetpea",0
"1561","LVKEBVSSEY",2
"1562","lwirt",1
"1563","lwtalwaysyou",1
"1564","LyallElspeth",0
"1565","lykebutts",-1
"1566","lytedark",0
"1567","m_scolari_III",2
"1568","M1_Williams",1
"1570","macc_marsh",-1
"1571","MacGootbone",2
"1572","mackattack80",1
"1573","MacTheLibrarian",2
"1574","madjorgen",-1
"1575","maebirddd",1
"1576","MAestRIO_Tube",-1
"1577","MAGA__2017",2
"1578","MAGAMale16",-1
"1579","Maggie_McNeill",1
"1580","magicthrow",0
"1581","magmaticmelissa",1
"1582","Magnetica444",-1
"1583","MajTubaMan",0
"1584","Mak_N_Cheeeeese",-2
"1585","MakeItRayn_",-1
"1586","malloy_brandy",1
"1588","mamacorin",1
"1589","mamacrow",1
"1590","mandalovescats",-1
"1591","mandomainia",2
"1593","manservantchris",-1
"1595","mar_ciad",0
"1596","marcaspringer",-1
"1597","marciee19",1
"1598","Marco0o0os",-2
"1599","Mareko69",-1
"1600","margaerynflower",1
"1601","maria_secviar",0
"1602","MariaHMiaCuba",-1
"1603","marianlederman",1
"1604","marielabarzallo",1
"1605","Mariesampah",2
"1607","Marion92437760",0
"1608","MarisaTacoma",2
"1609","MarisolWiech",0
"1610","marissarashly",1
"1611","Mark_Nunya",0
"1612","Markitoess",1
"1613","marleyvincentL",1
"1614","maroleon111",1
"1615","MarshallLee67",-2
"1616","MartialMalice",-1
"1617","martianxiety",1
"1618","MartiGulla",1
"1619","MartinRedmonddd",-1
"1620","MaryDiPasqal3",1
"1621","MaryHartmanx2",-1
"1622","MasniOdojak",1
"1624","matrigga",-1
"1625","MatrixOutsider",1
"1626","MattDidius77",1
"1627","Mattera1984",0
"1628","matthewgronke",2
"1629","MattLiasse",0
"1630","MattPoitty",-1
"1631","mattrmckinney",0
"1633","MavsPits",-1
"1634","mawnx",-2
"1635","Maximus6913",0
"1637","MayaSada",1
"1638","Maytee_Stickles",-1
"1639","mccainsbigcheek",2
"1640","McElveenBell",-1
"1641","mckinnon_pjm",1
"1642","mcmurray_Sean02",1
"1643","mcspellitout",1
"1644","md34293470",0
"1645","meadowgirl",1
"1646","MeanGreanHare",1
"1647","Meelapples",-1
"1648","MegNrdyFreakx3",3
"1649","megsteinberg",0
"1650","Melancholalia",0
"1651","MelinaVader",-1
"1653","melyssa_parker",0
"1655","MermaidNak",0
"1656","messengerflats",2
"1657","Metallic_Magic",1
"1658","MetaphorWolf",-2
"1659","Mew619",1
"1660","Mhdoe753",0
"1661","Mhorgel",-1
"1662","MHtoTha",0
"1664","mich3llepach",0
"1665","michael_seaborn",0
"1666","Michael75868157",1
"1667","michaelbayer1",1
"1668","michaelchiav",2
"1669","MichaelJPartyka",1
"1670","michaelkvance",2
"1671","michaelnp1701",1
"1673","MichelleSonnier",2
"1674","michieljackson",-1
"1675","MicroscoftPaint",1
"1676","MidianiteManna",1
"1677","miesnyyrikki",-1
"1678","mikecokere",-4
"1679","mikemack903",0
"1680","mikeua69",-1
"1681","MikeyGilz",0
"1682","MildyUpsetSeal",0
"1683","militaryfreedom",0
"1684","MilitaryRosary",1
"1685","Mimekiller",0
"1686","Mimicsmuse",1
"1688","mindph",0
"1689","MinkerBrainsick",-1
"1690","Minty4President",1
"1691","MirandaBuck",0
"1692","MirandaRHK",0
"1694","mirmgerm",-1
"1695","misc_mike",-1
"1696","miscofro",0
"1697","Mislu_Kravin",1
"1698","misscasiolrmy",1
"1699","MissCM01",2
"1700","MissKatyEnglish",1
"1702","Misty__Moo",1
"1703","mittchgrassi",0
"1704","MittsLikeMats",1
"1705","MJMurphy007",1
"1706","mk_rodgers",1
"1707","mlong5000",0
"1708","mltblue",0
"1709","Mminniemoo",0
"1710","mo0nxharmony",0
"1711","mobodog",0
"1712","ModerateNazi",-1
"1713","moekolo_",-5
"1714","moes741",0
"1716","MoeyMoeyP",0
"1717","MollyConYT",4
"1718","MollyNewton77",0
"1719","MOLLYSCHIOT",0
"1722","MonikaMoravan25",1
"1723","monisharaveena",-1
"1724","MonkeyOfSaltine",0
"1726","MorganK95",2
"1727","morganrus490",-2
"1728","Mortajosario",1
"1729","mosdefinho",1
"1730","Mothoni_",1
"1731","motionview",0
"1732","MPineappleDream",1
"1733","Mr_Chup0n",1
"1734","mr_sticks115",-1
"1735","MrDeplorable22",1
"1736","MrendanBcguigan",1
"1737","MrJTaj",0
"1738","MrLukePayne",-1
"1739","MrMicra_",-2
"1740","MrMiskatonic",2
"1741","mrph41l",0
"1742","MrRagerTV",1
"1743","mrs_pinky85",1
"1744","mrsgunsage",1
"1746","MrSlippryFist",-1
"1747","MrSmithisready",2
"1748","MrsPeteEsq",1
"1749","MrTagoMago",1
"1750","mrval3ntinus",0
"1751","Mscoe82",-1
"1752","MsMaxineStoker",-1
"1753","MSME415",2
"1754","Mstewable",0
"1755","MtOreadKaws",1
"1757","mulronie",-1
"1758","multiversecorgi",-1
"1759","mumbleslam",2
"1760","munchquinn",0
"1761","Musical_Timothy",2
"1762","MUTFanATL",1
"1763","mvalladar86",1
"1764","MWMWWWWWWWWWMWM",0
"1766","mxjxn",-2
"1767","MXVMMXII",1
"1768","My_Arks",-1
"1769","mycroft_vii",1
"1770","myers_marcus",0
"1771","MyersBmmyers123",0
"1772","MykeeT",2
"1773","MyManyDrawings",1
"1774","mymovingarch",-1
"1775","myoneandonli",0
"1777","myshkamou",1
"1779","N0Flu",1
"1780","nachonya",1
"1781","nahsorrym8",3
"1782","Nalini_Ravi",-2
"1783","namuisdabaum",-1
"1784","nancy_blondin",0
"1785","narcissistic_",0
"1786","narelleford",1
"1788","NatashaDeHere",-1
"1789","NateWhilk",1
"1790","nathansu",0
"1791","NatickBobCat",0
"1792","Navyw1fe",0
"1793","nc_carlsbad",1
"1794","Ncole1111",-2
"1796","nebuuu_16",1
"1797","Nefijer",1
"1798","negalha14",-2
"1799","Neilstradamus",2
"1800","Nerdista",1
"1801","NerdRage42",1
"1802","nerorennelo",-2
"1804","nessatism",0
"1805","nestorpnovak",3
"1806","nettieninja",2
"1807","neurawr",-1
"1809","nevnev60",-1
"1811","NewsatHoff",2
"1812","NewYorkRedBaes",-1
"1813","NflTorres",-1
"1814","NHCliqueee",-1
"1815","NHyatr",2
"1816","nickhide",0
"1817","Nicky_Jicky",0
"1818","Nicola1964D",-1
"1819","nicoleamurray",2
"1820","NicoleHadaway14",1
"1821","NICOLESEOUL",1
"1822","NighteStudios",1
"1823","nighttrakker",1
"1824","nightwing2024",0
"1825","NikiConrad",-1
"1826","niknaknook1",0
"1827","NikosCastelanos",-2
"1828","NINEIRON08",0
"1829","NingaDog",2
"1830","NintendoFanGirl",1
"1831","NIV7",-4
"1832","niveksirrah13",1
"1833","NoahJMiller97",1
"1834","nobelpatriot",1
"1835","NobleSenseiSmah",-1
"1836","nofatchicks3ver",-1
"1837","NoiceShoes",-1
"1838","NoMemesNoTalk",-2
"1839","Noncon49285",0
"1840","nopallixx",0
"1841","NoQuartersFor",3
"1842","noseymom718",0
"1843","NotbesilentWil1",-2
"1844","notkimlaurier",0
"1845","NotQuik",0
"1846","nottodaynosir",5
"1847","noturbone",0
"1849","Noworriesmaaan",1
"1850","NRoffe",2
"1851","nubs_foreman",0
"1852","NuCreation0215",-1
"1853","nvchad2",0
"1854","nwithey101",0
"1855","NYC_Mayor_Wood",2
"1856","nyc_sportz",0
"1857","NymOneFourSix",0
"1858","ObiSaysWhat",1
"1859","obj89",3
"1860","obotheclown",4
"1861","Obscure_P",1
"1863","Ocelcock",-1
"1864","oct4d",1
"1865","octoberrust0713",1
"1866","Octotron",-1
"1868","OdieEsty",0
"1869","OfficialGemBae",1
"1870","officialzaygod",2
"1871","oftheblackcross",-2
"1872","ofthestardust",2
"1873","ogzacherl",0
"1874","OHbooknerd44",1
"1875","ohhpIease",1
"1877","OhthatMonster",1
"1878","OhWhereToBegin",-1
"1879","OJs_Left_Glove",0
"1880","okayrobw",0
"1881","oliveautist",1
"1882","OliviaVivianne",1
"1883","OllieStanley99",-2
"1884","OllyOllyO",-1
"1885","om6s",0
"1887","OnceALeo_Always",-1
"1888","OohShiny_Sarah",0
"1891","ordinarylindaa",-1
"1893","OscarAlexis213",-1
"1894","osumark",2
"1895","OTilanus",0
"1896","ouaisjcrois",-1
"1897","OutbackFakehous",-2
"1898","outintheroses",2
"1899","OutwardDisplay",1
"1900","OverOnTheRight",2
"1901","Owen_Photog",-1
"1902","owlroyaltyy",1
"1904","P_G_1_3_",-1
"1905","P1Gore",1
"1906","pabarge",2
"1907","Pabooblette",1
"1908","PacifismDabbler",1
"1909","PailOfAwesome",1
"1910","PaineThomas1737",-2
"1911","painkilIrs",0
"1912","palb1234",2
"1913","Palmtown99",-2
"1914","PandaBrian",-1
"1915","Papaw_Cook",3
"1916","PaperPlateMask3",1
"1918","Passie_Kracht",0
"1919","PassTheTe",2
"1920","pasta_babe",-1
"1921","PastryChimiste",0
"1922","Pasuliitrash",0
"1923","Pat_A_W",0
"1924","PaterCrow",2
"1925","patriciamj",1
"1926","patricioorramos",0
"1927","PatriotGamer77",-1
"1928","patriotismplz",2
"1930","pattijofitz",2
"1933","pauldj",1
"1934","PaulGAtletico",2
"1935","paulineomg",-1
"1937","pcarroll47",0
"1938","peacockstrophe",0
"1939","peakeman",2
"1940","Peekaso",-1
"1941","peko3417",-1
"1942","Pelsxo",1
"1943","PenguinGalaxy",1
"1944","perksofbeingHC",2
"1945","pertello",1
"1946","peteh6570",0
"1947","PeterWalker59",-1
"1948","petthekat",-1
"1949","PettinatoRob",-1
"1950","Pg46591583",0
"1951","PHATFUCC",-1
"1952","PhebusJoe",0
"1953","phemzvrine",1
"1954","PhilaFLYguy",0
"1955","philbee85",-2
"1956","phildezar",-1
"1957","philly_cheesest",1
"1958","PhillyZimbo",0
"1960","PhuckYoTwitta",1
"1961","physiogrant",0
"1962","pictor",-1
"1963","PikachuPirate",-1
"1964","PineapplePurp",-1
"1965","ping6uod",0
"1966","pinstripes2017",2
"1967","PirateQueenKate",2
"1968","PirateSpitter",-2
"1969","PittSimple10",-1
"1970","pizzaUNOFFICIAL",-2
"1971","PJ_BBFan",-1
"1972","PJHubbell",0
"1973","PknyRoss",1
"1974","plabg",1
"1976","pointlessgods",-1
"1977","Pokeballsss",-1
"1978","Polandwarrior",0
"1979","PolitcalGuru",2
"1980","Pollo_Destructo",0
"1981","polly_905",2
"1983","polylem",2
"1984","ponchonig",1
"1985","poodleteeth",-2
"1986","PooltoyWolf",1
"1987","poppalinos",-3
"1988","postwarO27",1
"1989","PotatoesMcGravy",0
"1990","pottersexual",0
"1992","PR0TUS",0
"1993","Pr1vate_Hud50n",1
"1994","praisetheteapot",2
"1995","PrashansaMaskey",1
"1996","predaIytIcs",0
"1997","presidentstuff",2
"1998","Prestonthatkid",0
"2000","prettiekamsi",1
"2001","Prewyoko",-2
"2002","PrincessMcLeia",1
"2003","princewis5",1
"2004","princssscat",1
"2005","ProperJimmy",0
"2006","psanchez0273",2
"2007","Pseudopodia_",1
"2008","Pseudylus",1
"2009","psgcindy",1
"2010","pugzeal",2
"2011","punksandwitch",-1
"2012","puprags",2
"2013","purpleview",0
"2015","pursuinghapines",-1
"2016","pw_male",-2
"2017","Pygmywarrior",1
"2018","pyrogenix",0
"2020","queeenbree___",1
"2022","QueenBee______",1
"2023","Qui_GonWhiskey",-1
"2024","Quiest__elle",0
"2025","R_Star10",0
"2026","Raathyyy",0
"2027","rabyacandy",1
"2028","RachelGilker",2
"2029","RachelGodlessVg",1
"2030","radiationmouth",-1
"2031","raezhs",1
"2032","Rafi_Rules",2
"2033","rainaiscool",1
"2034","rainebrain",1
"2035","rajwaid",2
"2036","randypriceiv",4
"2037","rants_n_whatevs",2
"2038","raquellykelly",2
"2039","Raul_Taruffeti",1
"2040","RavenWyldexo",2
"2041","Rawdawggg12",-2
"2042","RCannon74",2
"2043","rccola517",-2
"2044","rdshot",0
"2045","ReacIntello",-2
"2046","realBKW",2
"2047","RealBulletHead1",0
"2048","REALComicCandy",1
"2049","realDavidJClark",-1
"2050","realDavidPina",-1
"2051","RealElleOwen",0
"2052","RealMarkNewman",1
"2053","RealNealSeal",0
"2054","RealWormTales",-1
"2055","ReaverBait",-1
"2056","RebloggerOcelot",1
"2057","Recover_this",0
"2058","red_boxer0",0
"2059","Red1Echo",0
"2060","Red3Biggs",-1
"2061","RedbobBackup",1
"2062","redcardphreek",2
"2063","reddy_kp",1
"2064","redhed311",0
"2065","ReeFungorio",0
"2066","registeredhoe",0
"2067","reichlyn",-2
"2068","rekon345",1
"2069","relatablegoth",1
"2070","RenHope1094",0
"2071","repowashington",-1
"2074","respondix",0
"2075","retroremakes",2
"2076","returnoftheGT",0
"2077","Rev_BlueMoon",0
"2078","revasana",1
"2079","RGBribiescas",2
"2080","RGIII__",-1
"2081","RgjRunner",-1
"2082","rhianonjameson",-2
"2083","rhipkin",1
"2084","rhiyoncee",1
"2085","ria_glows",1
"2086","Rich_Adams1",1
"2087","RichardCowley2",-1
"2088","Richeyben",1
"2089","RichmondG30",-1
"2090","richy_inger",-2
"2091","RickyD224",0
"2092","RiesEllie",-1
"2093","Riggsveda",1
"2094","riguy103",2
"2096","RissaMaeLynn",2
"2097","RizIsInTheHouse",1
"2098","rizz129",0
"2099","RLTW14",0
"2100","rmartineau959",2
"2103","Roakes89",0
"2104","Rob_L_Rouser",1
"2105","robbiersg",-2
"2106","RobChristie11",-1
"2107","Robert_Hanson_",0
"2108","RobertHPall",-1
"2109","robertsolray",-1
"2110","RobertTins",1
"2111","robinnn04",-1
"2112","Robjj32",1
"2113","RobMcKinley17",0
"2114","ROBRICHARDSON",-1
"2115","Rocket_Camie",2
"2116","roelitup",-2
"2117","RokasUrbonas",2
"2118","RolandBlackk",2
"2119","rompcat",0
"2120","ronpoole",1
"2121","RonSonic",-1
"2122","rora_borealis",2
"2123","rosiedoes",0
"2124","rossva_1189",1
"2125","RowanJ5",1
"2126","RsvpV",0
"2127","rtadams",1
"2128","rubberduckmafia",0
"2129","RubMyCleft",0
"2130","Ruby",1
"2131","Runner5_H1gh",0
"2132","russianduckling",2
"2133","ruthven78",1
"2134","rwalls13ntx",2
"2135","RyanLuvsGaga",0
"2137","rybred8877",1
"2138","rynsmom0911",-1
"2139","Rypny",0
"2141","SageWaterDragon",0
"2142","saintbap",1
"2143","saintlouiecards",3
"2144","SakumiBLR",1
"2145","salkin",1
"2146","sally_j",1
"2147","Sallyjoagain",1
"2148","Salty_Dog2016",1
"2149","saltywaterbird",1
"2150","samanthamarie",0
"2151","samanthatucks",1
"2152","Samarobrin",1
"2153","SamAyresBlog",2
"2154","SamHide5",0
"2155","sammmidd",-1
"2156","Sammy_Benbow",1
"2157","Samphie7",0
"2158","samurai_legesse",0
"2159","San_Patricio_BN",1
"2162","sandi_velocity",0
"2163","SANDRAELLENK",0
"2165","sanguisdev",1
"2168","sanzibalstweets",0
"2169","sarah_vancea",1
"2170","SarahAinsworth9",1
"2171","saraherib",0
"2173","SarahT_in_Prov",2
"2174","sarcasticrobv",-1
"2175","SargonistScum",0
"2178","sassiemassiee",-2
"2179","SaulGood12",2
"2181","saveJACKo",1
"2182","SavMaggie",0
"2183","SavnRyansPrvate",1
"2184","SC363",1
"2185","scanderish",1
"2186","scantilyglad",2
"2187","schell_oh",-2
"2188","Science_Reigns",0
"2190","scifirighter",0
"2191","ScifiSpirit",4
"2192","scotch_bx",4
"2193","ScotForLiberty",-1
"2194","scotthaime",2
"2195","ScottMarcus77",0
"2196","ScottPerrys",1
"2197","screwtape1a12",1
"2198","screwyoumegn",-1
"2200","SeahawkBurrrton",1
"2201","sean_wardy",1
"2202","Seb_Vald",1
"2203","Sec238",1
"2204","secjr112",3
"2205","SeegeVega",1
"2206","Semere_T",1
"2207","sendpoliticards",2
"2208","senlltam",0
"2209","SenorElNegro",0
"2210","SensibleBurger",1
"2211","SerendipitySays",-1
"2212","SergioSmash",-1
"2214","SethAndrewsATL",1
"2215","sexistlemon",1
"2216","SexYSuccubus",-1
"2217","shamima1985",-1
"2218","ShannonDingle",2
"2219","shanny_adams",-1
"2220","Sharkb8oohhaha",-1
"2221","shazsyd",1
"2223","Shelby_Naber",2
"2224","ShepardRich",-1
"2225","SheWantTheDee_",-1
"2226","shhurr",0
"2227","shibdork",-1
"2228","ShifteeCent",-2
"2229","SHINeeDivas",0
"2230","shirvill",2
"2231","Shit__DerekSays",2
"2232","ShitFan",0
"2233","Shoeshi13",0
"2234","shoppingblonde",2
"2235","ShortandTired",0
"2236","siddharthmukund",1
"2237","Sierra0505",0
"2238","silly_sarah_",0
"2239","silvalis75",2
"2241","SilvinCopper",1
"2242","simonhcwilson",2
"2243","SimonMaxfield8",1
"2244","SimpsFx",-1
"2245","SirCanuckles",0
"2246","sirmixalatte",2
"2247","SirMrChicken",0
"2248","SissokosSchlong",-1
"2249","SitcomPsychic",1
"2250","sixthblunt",-2
"2251","sixtyk",2
"2252","skank_hunt66",-1
"2253","Skelly363",-2
"2254","SkellyScribbles",0
"2255","skepticsauce",1
"2256","SkinnyHendrixHD",3
"2257","SkipTerrio",1
"2258","skyhigh081978",1
"2259","skyninjaspeaks",-1
"2261","SLAPTHELEFT",2
"2262","SlateKensington",1
"2264","SleazyBumpkin",0
"2265","sleepykitty_",1
"2266","SLhospltality",1
"2267","Slimongi",1
"2268","slugsforbrows",-1
"2269","Smacku2b",1
"2270","Smara522",0
"2271","smittie61984",1
"2272","smotis37",0
"2273","Smurfy52401",2
"2274","Snakierturtle74",2
"2275","SnappingWillow",-1
"2276","Sneaky_Disease",0
"2277","sneakyriki",-1
"2278","Snoble_",-1
"2280","soIndi",-1
"2281","SoNearlyYours",0
"2282","sonicmeerkat",-2
"2283","SonofaMitchToo",1
"2284","SooBeeinNY",0
"2285","SoothingDave",1
"2287","SorcererSean",0
"2288","soulassssns",-1
"2290","Southuhnboi",1
"2291","soy_fauz",1
"2292","spacedcowgirl",0
"2293","spacegh5t",0
"2294","spacekarth",-1
"2295","speak_mnemosyne",0
"2296","speakostensibly",0
"2297","SpenceJack",2
"2298","Spexcies",2
"2299","SpiralNature",1
"2300","sploogeblaster",0
"2301","spookylizard",0
"2302","SpottedConzo",0
"2303","sprague_dennis",2
"2305","squangel",0
"2306","Squid_Hunt",1
"2307","sruhls3",1
"2308","Sry4wrongthink",0
"2309","StaceySAnd",0
"2310","stalepickle",-2
"2311","stannyyy",2
"2312","StarDogCh4mpion",2
"2313","starrboyjoseph",0
"2314","starryeyedg1rl",-2
"2315","states_of_grace",-2
"2316","stefknapp",2
"2317","StephanieJo_G",0
"2318","StephanieKenney",0
"2319","StephanieV2156",2
